resume_index,job_role,resume_skills,required_skills,matched_skills,missing_skills,required_skill_count,matched_skill_count,skill_alignment_percentage
0,Java Backend Developer,"java, market research, maven, microservices, rest api, spring boot, sql, statistics","docker, java, jenkins, maven, microservices, rest api, spring boot, sql, technical writing","java, maven, microservices, rest api, spring boot, sql","docker, jenkins, technical writing",9,6,66.67
1,Microbiologist,"agile, business development, data analysis, laboratory work, microbiology, precision, problem solving, research, scala","adobe creative suite, agile, data analysis, financial analysis, laboratory work, microbiology, pandas, precision, problem solving, react, research, swift","agile, data analysis, laboratory work, microbiology, precision, problem solving, research","adobe creative suite, financial analysis, pandas, react, swift",12,7,58.33
2,Plumber,"code knowledge, creativity, customer service, ios, plumbing systems, postgresql, problem solving, react, safety, technical knowledge","code knowledge, customer service, plumbing systems, power bi, problem solving, safety, sql, technical knowledge","code knowledge, customer service, plumbing systems, problem solving, safety, technical knowledge","power bi, sql",8,6,75.0
3,PHP Developer,"api development, c++, css, financial analysis, html, laravel, mysql, php, query optimization, symfony, terraform, web accessibility","api development, compliance, css, html, laravel, mysql, php, symfony","api development, css, html, laravel, mysql, php, symfony",compliance,8,7,87.5
4,Art Director,"ansible, artistic direction, communication, creativity, design principles, docker, problem solving, scrum, team leadership, visual communication","artistic direction, communication, creativity, design principles, pytorch, shell scripting, team leadership, visual communication","artistic direction, communication, creativity, design principles, team leadership, visual communication","pytorch, shell scripting",8,6,75.0
5,Executive Assistant,"cd, ci, communication, creativity, database design, deep learning, discretion, executive support, leadership support, organization, problem solving, pytorch","adobe creative suite, communication, discretion, executive support, leadership support, organization, problem solving","communication, discretion, executive support, leadership support, organization, problem solving",adobe creative suite,7,6,85.71
6,Cassandra Developer,"business development, cassandra, cql, distributed systems, machine learning, nosql, performance, scalability","cassandra, cql, data analysis, distributed systems, kanban, nosql, numpy, performance, scalability, seo, strategic planning","cassandra, cql, distributed systems, nosql, performance, scalability","data analysis, kanban, numpy, seo, strategic planning",11,6,54.55
7,Informatica Developer,"data integration, data quality, etl, gcp, informatica, javascript, kanban, performance tuning, scikit-learn, sql, web accessibility","adobe creative suite, creativity, data integration, data quality, etl, informatica, market research, mentoring, nosql, performance tuning, responsive design, seo, sql","data integration, data quality, etl, informatica, performance tuning, sql","adobe creative suite, creativity, market research, mentoring, nosql, responsive design, seo",13,6,46.15
8,Physical Therapist,"anatomy knowledge, communication, compassion, exercise prescription, patient assessment, php, physical therapy, strategic planning, swift","anatomy knowledge, communication, compassion, confluence, css, django, exercise prescription, patient assessment, physical therapy","anatomy knowledge, communication, compassion, exercise prescription, patient assessment, physical therapy","confluence, css, django",9,6,66.67
9,Elixir Developer,"compliance, distributed systems, elixir, erlang, functional programming, kanban, phoenix framework, postgresql, problem solving","distributed systems, elixir, erlang, functional programming, kanban, nosql, phoenix framework, problem solving, pytorch, react native, scikit-learn, security protocols","distributed systems, elixir, erlang, functional programming, kanban, phoenix framework, problem solving","nosql, pytorch, react native, scikit-learn, security protocols",12,7,58.33
10,Machine Learning Engineer,"deep learning, network security, python, pytorch, research, shell scripting, statistics, tensorflow","deep learning, firewalls, mongodb, mysql, problem solving, python, pytorch, research, shell scripting, statistics, swift, tensorflow, user experience","deep learning, python, pytorch, research, shell scripting, statistics, tensorflow","firewalls, mongodb, mysql, problem solving, swift, user experience",13,7,53.85
11,Broadcast Technician,"attention to detail, broadcasting, equipment operation, graphic design, jenkins, problem solving, safety, swift, technical knowledge, troubleshooting","attention to detail, broadcasting, equipment operation, leadership, mysql, rest api, safety, technical knowledge, troubleshooting","attention to detail, broadcasting, equipment operation, safety, technical knowledge, troubleshooting","leadership, mysql, rest api",9,6,66.67
12,Conservation Officer,"communication, conservation, environmental knowledge, law enforcement, microservices, problem solving, react native, safety, swift, web accessibility","communication, conservation, environmental knowledge, kubernetes, law enforcement, problem solving, safety","communication, conservation, environmental knowledge, law enforcement, problem solving, safety",kubernetes,7,6,85.71
13,Clojure Developer,"clojure, concurrency, functional programming, java interop, lispyscript, node.js, presentation skills, problem solving","angular, business development, clojure, concurrency, deep learning, functional programming, java, java interop, lispyscript, microservices, mobile security, negotiation, problem solving, rest api, rust, swift","clojure, concurrency, functional programming, java interop, lispyscript, problem solving","angular, business development, deep learning, java, microservices, mobile security, negotiation, rest api, rust, swift",16,6,37.5
14,Technical Account Manager,"account management, business acumen, client relations, communication, problem solving, product knowledge, python, technical knowledge","account management, client relations, communication, presentation skills, problem solving, product knowledge, technical knowledge","account management, client relations, communication, problem solving, product knowledge, technical knowledge",presentation skills,7,6,85.71
15,IT Consultant,"communication, creativity, it knowledge, problem solving, project management, scala, system design, tableau, technical expertise","communication, it knowledge, problem solving, project management, system design, technical expertise, time management","communication, it knowledge, problem solving, project management, system design, technical expertise",time management,7,6,85.71
16,Cassandra Developer,"cassandra, cql, distributed systems, nosql, penetration testing, performance, perl, scalability, strategic planning, technical writing","cassandra, cql, data analysis, distributed systems, kanban, nosql, numpy, performance, scalability, seo, strategic planning","cassandra, cql, distributed systems, nosql, performance, scalability, strategic planning","data analysis, kanban, numpy, seo",11,7,63.64
17,Electrical Utilities Manager,"adobe creative suite, electrical systems, financial analysis, ios, leadership, management, problem solving, project management, pytorch, regulatory knowledge, safety","css, electrical systems, leadership, management, problem solving, pytorch, regulatory knowledge, safety, sql","electrical systems, leadership, management, problem solving, pytorch, regulatory knowledge, safety","css, sql",9,7,77.78
18,Nail Technician,"artistry, aws, business acumen, communication, customer service, jenkins, nail care, precision, sanitation","ansible, artistry, business acumen, communication, customer service, financial analysis, nail care, precision, rust, sanitation","artistry, business acumen, communication, customer service, nail care, precision, sanitation","ansible, financial analysis, rust",10,7,70.0
19,Livestock Manager,"business skills, equipment, health knowledge, leadership, livestock care, network security, postgresql, problem solving, responsive design","business skills, decision making, equipment, health knowledge, leadership, livestock care, penetration testing, problem solving, sales","business skills, equipment, health knowledge, leadership, livestock care, problem solving","decision making, penetration testing, sales",9,6,66.67
20,SAS Programmer,"data management, django, problem solving, sas, serverless, sql, statistical analysis, visualization","data management, django, perl, problem solving, pytorch, sas, sql, statistical analysis, statistics, visualization","data management, django, problem solving, sas, sql, statistical analysis, visualization","perl, pytorch, statistics",10,7,70.0
21,3D Artist,"3d modeling, adobe creative suite, app testing, creativity, html, problem solving, rendering, software skills, texturing","3d modeling, creativity, market research, problem solving, rendering, software skills, statistics, tableau, texturing","3d modeling, creativity, problem solving, rendering, software skills, texturing","market research, statistics, tableau",9,6,66.67
22,Esthetician,"business development, communication, customer service, deep learning, facial treatment, mysql, product knowledge, react native, skincare, technical skills","communication, customer service, deep learning, facial treatment, product knowledge, sales, skincare, technical skills","communication, customer service, deep learning, facial treatment, product knowledge, skincare, technical skills",sales,8,7,87.5
23,Analytics Engineer,"analytics, cloud platforms, creativity, data modeling, dbt, documentation, mongodb, pandas, python, react, sql","analytics, cloud platforms, data modeling, dbt, mongodb, pandas, python, security architecture, sql","analytics, cloud platforms, data modeling, dbt, mongodb, pandas, python, sql",security architecture,9,8,88.89
24,Informatica Developer,"data integration, data quality, etl, gcp, informatica, performance tuning, react, sql, wireframing","adobe creative suite, creativity, data integration, data quality, etl, informatica, market research, mentoring, nosql, performance tuning, responsive design, seo, sql","data integration, data quality, etl, informatica, performance tuning, sql","adobe creative suite, creativity, market research, mentoring, nosql, responsive design, seo",13,6,46.15
25,Data Analyst,"data visualization, excel, html, mongodb, project management, python, rest api, sql, statistical analysis, tableau, terraform","ansible, data visualization, excel, leadership, python, sql, statistical analysis, tableau","data visualization, excel, python, sql, statistical analysis, tableau","ansible, leadership",8,6,75.0
26,Pharmacist,"accuracy, attention to detail, communication, drug interactions, firewalls, microservices, mysql, patient counseling, pharmacy knowledge","accuracy, attention to detail, communication, drug interactions, microservices, patient counseling, pharmacy knowledge, prototyping, serverless, shell scripting","accuracy, attention to detail, communication, drug interactions, microservices, patient counseling, pharmacy knowledge","prototyping, serverless, shell scripting",10,7,70.0
27,Go Developer,"api development, concurrency, docker, go, microservices, problem solving, pytorch, responsive design, scrum, swift, web accessibility","api development, concurrency, docker, go, microservices, pandas, problem solving, prototyping, swift","api development, concurrency, docker, go, microservices, problem solving, swift","pandas, prototyping",9,7,77.78
