resume_index,actual_job_role,rank,recommended_job_role,semantic_similarity
0,Java Backend Developer,1,Data Engineer,44.34
0,Java Backend Developer,2,Agricultural Engineer,44.32
0,Java Backend Developer,3,Software Engineer,43.39
0,Java Backend Developer,4,Solutions Engineer,41.84
0,Java Backend Developer,5,Data Scientist,41.8
1,Microbiologist,1,Microbiologist,48.69
1,Microbiologist,2,Scrum Master,46.3
1,Microbiologist,3,Business Development Manager,45.79
1,Microbiologist,4,Academic Data Analyst,45.67
1,Microbiologist,5,Learning & Development Manager,44.46
2,Plumber,1,Solutions Engineer,50.33
2,Plumber,2,QA Engineer,45.93
2,Plumber,3,Solution Architect,44.12
2,Plumber,4,Instructional Designer,42.53
2,Plumber,5,Data Engineer,42.33
3,PHP Developer,1,PHP Developer,47.35
3,PHP Developer,2,Web Designer,46.19
3,PHP Developer,3,Joomla Developer,45.46
3,PHP Developer,4,Magento Developer,44.63
3,PHP Developer,5,Drupal Developer,42.6
4,Art Director,1,Scrum Master,55.2
4,Art Director,2,DevOps Engineer,41.66
4,Art Director,3,Solutions Engineer,41.07
4,Art Director,4,Solution Architect,40.75
4,Art Director,5,Learning & Development Manager,39.71
5,Executive Assistant,1,Learning & Development Manager,53.66
5,Executive Assistant,2,Administrative Assistant,51.82
5,Executive Assistant,3,Instructional Designer,47.61
5,Executive Assistant,4,Data Engineer,47.44
5,Executive Assistant,5,IT Consultant,46.87
6,Cassandra Developer,1,Cassandra Developer,62.17
6,Cassandra Developer,2,Data Scientist,44.22
6,Cassandra Developer,3,Data Warehouse Architect,42.74
6,Cassandra Developer,4,Machine Learning Engineer,41.8
6,Cassandra Developer,5,Data Engineer,41.29
7,Informatica Developer,1,Data Engineer,54.48
7,Informatica Developer,2,SAP Developer,48.93
7,Informatica Developer,3,Data Scientist,48.66
7,Informatica Developer,4,Oracle Applications Developer,46.19
7,Informatica Developer,5,ETL Developer,45.94
8,Physical Therapist,1,Physical Therapist,48.15
8,Physical Therapist,2,Massage Therapist,39.89
8,Physical Therapist,3,Occupational Therapist,38.41
8,Physical Therapist,4,Management Consultant,38.06
8,Physical Therapist,5,Training Specialist,37.69
9,Elixir Developer,1,Software Engineer,47.35
9,Elixir Developer,2,Software Test Engineer,46.76
9,Elixir Developer,3,Data Engineer,46.04
9,Elixir Developer,4,Solutions Engineer,45.63
9,Elixir Developer,5,Haskell Developer,42.36
10,Machine Learning Engineer,1,Cybersecurity Analyst,49.76
